date,hash,text,compound,sentiment
2009-04-06,-269341074388687178,@julieebaby awe i love you too!!!! 1 am here  i miss you,0.6973,positive
2009-04-06,-8920904827569079807,@HumpNinja I cry my asian eyes to sleep at night ,-0.4767,negative
2009-04-06,-6132670583639985102,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,-0.4939,negative
2009-04-06,-6894553933498741170,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,-0.6711,negative
2009-04-06,-4812667781811190805,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,-0.1511,negative
2009-04-06,-7336215879367171165,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,0.3578,positive
2009-04-06,-2965326770313189811,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,-0.1531,negative
2009-04-06,-4415795604429647241,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,-0.1746,negative
2009-04-06,8875482610750374882,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,0.6369,positive
2009-04-06,-2770846062019857421,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",-0.8609,negative
2009-04-06,7786517985201723816,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,0.2481,positive
2009-04-06,8966860420984206065,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,0.128,positive
2009-04-06,534028497211703056,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,0.629,positive
2009-04-06,-6306566078970736433,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",0.3612,positive
2009-04-06,8695754011092229646,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,0.5719,positive
2009-04-06,4508998541942788024,is strangely sad about LiLo and SamRo breaking up. ,-0.6486,negative
2009-04-06,-9105073501422122693,@tea oh! i'm so sorry  i didn't think about that before retweeting.,-0.2578,negative
2009-04-06,4666526842362986258,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,-0.2023,negative
2009-04-06,-5598496814118025480,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",0.7845,positive
2009-04-06,7611906711342312022,our duck and chicken are taking wayyy too long to hatch ,0.0,neutral
2009-04-06,5443344286562130352,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",-0.2263,negative
2009-04-06,-1246773591101106186,I need a hug ,0.4767,positive
2009-04-06,1065399854608472040,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",-0.2134,negative
2009-04-06,-8233345561342061167,@oanhLove I hate when that happens... ,-0.5719,negative
2009-04-06,-5559736208384233407,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",-0.3818,negative
2009-04-06,-5683528688389138090,Ugh....92 degrees tomorrow ,0.0,neutral
2009-04-06,-8979398274070704345,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,0.6848,positive
2009-04-06,-5136221802888498042,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",0.1431,positive
2009-04-06,-7865639148680624693,just leaving the parking lot of work! ,0.0,neutral
2009-04-06,29996060011454549,The Life is cool. But not for Me. ,0.1655,positive
2009-04-06,-6624204630066642271,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",-0.4215,negative
2009-04-06,6577329106088484131,I had such a nice day. Too bad the rain comes in tomorrow at 5am ,-0.1779,negative
2009-04-06,1874561841374102242,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,-0.1541,negative
2009-04-06,-4052215877110947954,Damm back to school tomorrow ,0.0,neutral
2009-04-06,-7611281371657080515,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",-0.7783,negative
2009-04-06,930059962042188364,@katortiz  Not forever... See you soon!,0.0,neutral
2009-04-06,2529665220420549997,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",0.2732,positive
2009-04-06,5578922262911313892,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,-0.3131,negative
2009-04-06,4104025259827277195,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,0.3802,positive
2009-04-06,-6128361594491658430,i really hate how people diss my bands!  Trace is clearly NOT ugly!,0.2484,positive
2009-04-06,8328797013562355203,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",0.7003,positive
2009-04-06,-7980708599161786584,Why won't you show my location?!   http://twitpic.com/2y2es,0.0,neutral
2009-04-06,5550424081211912378,No picnic  my phone smells like citrus.,0.0772,positive
2009-04-06,2348335817999060921,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",0.1779,positive
2009-04-06,6452561253082251439,No new csi tonight.  FML,-0.296,negative
2009-04-06,4734436828700925041,i think my arms are sore from tennis ,-0.3612,negative
2009-04-06,-7762462973612280669,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,-0.6615,negative
2009-04-06,2026025556804719014,sleep soon... i just hate saying bye and see you tomorrow for the night. ,-0.5719,negative
2009-04-06,-4419592165636975758,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",-0.315,negative
2009-04-06,9195675807220953704,missin' the boo ,0.0,neutral
2009-04-06,1899418140097137685,@markhardy1974 Me too  #itm,0.0,neutral
2009-04-06,913079244499894700,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,-0.7597,negative
2009-04-06,-4975619523055565346,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",-0.9052,negative
2009-04-06,-4004639195785524927,@msdrama hey missed ya at the meeting  sup mama,-0.296,negative
2009-04-06,-6681578634992204775,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",-0.7851,negative
2009-04-06,6763526209383012551,why is it always the fat ones?! ,0.0,neutral
2009-04-06,6693960154115474404,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",-0.3987,negative
2009-04-06,7814529561876368656,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,0.0,neutral
2009-04-06,3452288242575443819,wednesday my b-day! don't know what 2 do!! ,0.0,neutral
2009-04-06,6467758120119578072,Poor cameron (the hills) ,-0.4767,negative
2009-04-06,6112237560865491279,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",0.128,positive
2009-04-06,-3660048601661339314,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",0.2006,positive
2009-04-06,3111905589290789754,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,-0.5106,negative
2009-04-06,-5502462292631946418,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",0.7843,positive
2009-04-06,-2167331228455067305,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",0.126,positive
2009-04-06,78503274749591768,"@stark YOU don't follow me, either  and i work for you!",0.0,neutral
2009-04-06,-8101336101009683317,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,-0.0772,negative
2009-04-06,-2931551005152488493, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,-0.5267,negative
2009-04-06,792284796276568121,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",-0.3818,negative
2009-04-06,2664821123436945802,Behind on my classes for work ,0.0,neutral
2009-04-06,3280910552752330030,watching &quot;House&quot; ,0.0,neutral
2009-04-06,7609844391630123531,@kpreyes Remember my bum leg? Strikes back this time its serious ,-0.4215,negative
2009-04-06,-2695529861629752933,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",-0.4588,negative
2009-04-06,-7882407428061302123,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,0.2732,positive
2009-04-06,4850605120069212846,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,0.2263,positive
2009-04-06,-3400185185219281293,@Henkuyinepu it's overrated ,0.0,neutral
2009-04-06,-6275011960139406727,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,0.0,neutral
2009-04-06,8923660998877574799,laying in bed with no voice.. ,-0.296,negative
2009-04-06,3892125249450481588,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,-0.8582,negative
2009-04-06,7958772021916129981,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,-0.2212,negative
2009-04-06,3249226499578323170,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",-0.7717,negative
2009-04-06,2096818905006867952,@salancaster  hope your ok.,0.4404,positive
2009-04-06,-8538713609658087472,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,0.5043,positive
2009-04-06,-8048434469618779259,@HibaNick yeah aw but i know i wudnt stand a chance ,0.4767,positive
2009-04-06,8320430106606970905,ugh. cant sleep. its 1:30am. ,-0.4215,negative
2009-04-06,-7735151946699123679,Hanging in Crooners. Wanna sing. Can't. Sucks. ,0.2755,positive
2009-04-06,-7858868035677020603,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,-0.2924,negative
2009-04-06,-7249131492508953939,Is pissed off that there's no ASBA's for a radio station. ,-0.7506,negative
2009-04-06,-1360084390872965580,wednesday my b-day n don't know what 2 do!  ,0.0,neutral
2009-04-06,-2656973922445550510,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,0.4404,positive
2009-04-06,-8319984789056668769,I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,-0.8246,negative
2009-04-06,2655086391946747782,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",-0.7906,negative
2009-04-06,-8668012516194160743,@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,-0.3491,negative
2009-04-06,-2660557000972604786,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",-0.6369,negative
2009-04-06,-1405020218902751824,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,0.0,neutral
2009-04-06,3062084454786230768,I'm so cold ,0.0,neutral
2009-04-06,2659478581599933652,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,-0.5106,negative
2009-04-06,-3050445701585126900,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,0.1759,positive
2009-04-06,-288379687169942025,Hoping the tummy rumbles go away soon ,0.4215,positive
2009-04-06,-2002997489357577171,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",-0.296,negative
2009-04-06,1134643886972030446,almost bedtime ,0.0,neutral
2009-04-06,-4041002966537726548,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,0.9366,positive
2009-04-06,-7186617680106990231,Agh...snow!!! ,0.0,neutral
2009-04-06,-66602579505781254,i miss kenny powers ,-0.1531,negative
2009-04-06,-2770625427951155440,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",-0.5267,negative
2009-04-06,5404191044019858760,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",0.5517,positive
2009-04-06,-5850407469789134801,@JonathanRKnight I guess that's a no then. ,-0.296,negative
2009-04-06,1328592784441621845,sadly is going to bed. ,-0.4215,negative
2009-04-06,9016838027729401819,@ozesteph1992 Shame to hear this Stephan ,-0.4767,negative
2009-04-06,-7928883027413205830,@mrsaintnick hey! i'm leavin in the morning... ,0.0,neutral
2009-04-06,8025165052967594057,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",0.1655,positive
2009-04-06,-7216640122569716728,laid around too much today... now my head hurts ,-0.4767,negative
2009-04-06,259968493482333286,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,-0.0516,negative
2009-04-06,-1325506262658198514,my nokia 1110 died..  ,-0.5574,negative
2009-04-06,-3401809343234457044,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,-0.7234,negative
2009-04-06,-4533512026606857500,Going to sleep. Hoping tomorrow is a better day. ,0.6908,positive
2009-04-06,-8322550199520030669,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,0.6705,positive
2009-04-06,5553420743663842456,@onemoreproject that is lame ,-0.4215,negative
2009-04-06,3295360997956794270,I don't understand... I really don't ,0.0,neutral
2009-04-06,8068706392310355463,HEROES just isn't doing it for me this season... ,0.6166,positive
2009-04-06,-8441440549222478816,Living not downtown sure isn't much fun.  ,-0.5667,negative
2009-04-06,-5968642167272394620,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,-0.1625,negative
2009-04-06,-5238186352585448210,Man Work is Hard ,-0.1027,negative
2009-04-06,8267283001000434947,"getting sick  time for some hot tea, studying, and then sleeeep",-0.5106,negative
2009-04-06,-8884864086614745132,Getting eyebrows waxed. More pain ,-0.5563,negative
2009-04-06,-6368994300923093621,No phantasy star yesterday  going to work...,-0.296,negative
2009-04-06,2342687334867740362,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,0.4404,positive
2009-04-06,-1710637351159750173,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,0.8442,positive
2009-04-06,437785779239280529,is alone downstairs...working ,-0.25,negative
2009-04-06,3679827914947727993,I feel bad for doing it ,-0.5423,negative
2009-04-06,-5225484802692394705,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",-0.5574,negative
2009-04-06,1637053037209937692,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,0.4019,positive
2009-04-06,-4929656751402050067,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,-0.6249,negative
2009-04-06,-1937770631414538053,Thanks for bursting my bubble ,0.4404,positive
2009-04-06,-8685893885641944722,Going to school soon... can't find anything to wear!! gosh it's so hard ,-0.3507,negative
2009-04-06,2422025115307758650,@marieclr I was serious  LOL,0.4995,positive
2009-04-06,9200861210073603966,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,-0.6093,negative
2009-04-06,-3169435286107480686,Crazy wind today = no birding  http://ff.im/1XTTi,-0.5574,negative
2009-04-06,1036409185638284816,currently at work.. ,0.0,neutral
2009-04-06,3057537764553303163,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,-0.4559,negative
2009-04-06,6539620936860255886,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,-0.6694,negative
2009-04-06,-5384691629366486828,i don't see the big deal with this website ,0.0,neutral
2009-04-06,1536392678710271483,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,-0.188,negative
2009-04-06,-1421467449982860492,@ColinDeMar Far too out of the way for rail.  any other tips?,0.0,neutral
2009-04-06,7942148620139963845,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,0.6901,positive
2009-04-06,7916769156553244322,"Today I realized I am too good at hiding things, even I can't find it ",0.1779,positive
2009-04-06,4764655648082653064,"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",0.7733,positive
2009-04-06,7965754276969720049,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,-0.6988,negative
2009-04-06,-8244073824306576960,Check out my mug  http://www.erika-obscura.blogspot.com,0.0,neutral
2009-04-06,-642353452946828053,Borders closed at 10 ,0.0,neutral
2009-04-06,-4559756459747407275,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days ,-0.6808,negative
2009-04-06,2982785416957883129,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,0.0,neutral
2009-04-06,-6344391512054613640,is watching the hill . . .and its making me sad ,-0.4767,negative
2009-04-06,2785586075023591600,So many channels.... yet so so boring... lazy day again  may have to find a hobby,-0.7492,negative
2009-04-06,-8274407020895302739,@supersport I miss my buddy  ill be in NY on the 25th,-0.5267,negative
2009-04-06,-3828357811600845093,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,0.8442,positive
2009-04-06,-8132689530292492968,Opps.. As I said.. I still got one day remain and now problem come ,-0.4019,negative
2009-04-06,5552069899970136769,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",-0.6597,negative
2009-04-06,5893687313602882954,@HillyDoP  oH NO,-0.4466,negative
2009-04-06,-455083443544689553,spencer is not a good guy. ,-0.3412,negative
2009-04-06,-8451776002049419844,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",-0.5719,negative
2009-04-06,-3246704145267585652,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,sheï¿½s not well ",-0.6266,negative
2009-04-06,5704352246986683259,didn't get shit done today ~ i'm so screwed ,-0.2942,negative
2009-04-06,-1269652804953348707,wanttss to go out ,0.0,neutral
2009-04-06,2521663172799482486,Is not going to sleep tonite. ,0.0,neutral
2009-04-06,-5580920157504795227,too worried and tired to post tonight ,-0.6249,negative
2009-04-06,-775131193914609737,couldn't get shit done today ~ i'm so screwed ,-0.2942,negative
2009-04-06,5230623044816981496,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",0.7177,positive
2009-04-06,-7022920845682114861,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",-0.4767,negative
2009-04-06,-6246201817669331150,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now,-0.7332,negative
2009-04-06,-5837340497267597058,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. ",-0.2382,negative
2009-04-06,-3965478482356698198,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,0.6973,positive
2009-04-06,-6094548527450507391,i hate to see the spartans so sad ,-0.8267,negative
2009-04-06,-7969855242954685373,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot ,-0.7003,negative
2009-04-06,8080710438428609859,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!",-0.4882,negative
2009-04-06,-5836315781765480255,@mandayyy ,0.0,neutral
2009-04-06,8495254000691586288,@twista202 I think I want to read some books but the library doesn't have them ,0.0387,neutral
2009-04-06,-7696490367404318061,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,-0.296,negative
2009-04-06,6407121448822302462,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,-0.6249,negative
2009-04-06,3991084384592521865,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,-0.6956,negative
2009-04-06,-677689708340038650,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,-0.546,negative
2009-04-06,8770632254782698742,sad that the 'feet' of my macbook just fell off ,-0.4767,negative
2009-04-06,7303162584412428391,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad ,-0.6808,negative
2009-04-06,8055929346770912786,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  ",-0.7096,negative
2009-04-06,4472612694467953505,"Has now gotten somebody to read his tweets, but cant get them to make an account. ",0.0,neutral
2009-04-06,4684125596393249494,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,0.7065,positive
2009-04-06,8356240208340856362,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,-0.2867,negative
2009-04-06,432867124562785065,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,0.6348,positive
2009-04-06,-1822501322673479637,@breadandbadger Congrats!!  i totally forgot to submit photos ,0.6103,positive
2009-04-06,-4962768304473000903,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",0.9644,positive
2009-04-06,-9054915535958819208,@imaginarypeach now your leaving me  .... -gets sad-,-0.4767,negative
2009-04-06,-2686628086183741142,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. ",-0.8126,negative
2009-04-06,-5636450766753889753,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,-0.8369,negative
2009-04-06,-3208197336550803881,Tuesdayï¿½ll start with reflection ï¿½n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,0.4005,positive
2009-04-06,3772813424821015767,What tragedy and disaster in the news this week ,-0.8591,negative
2009-04-06,8002344458362903688,yes yes still trying to find a picture that will upload correclty.. ,0.6597,positive
2009-04-06,8723751670910661515,Why oh why was the Red Sox game rained out? I was so looking forward to opening day ,0.0,neutral
2009-04-06,7940374984962823303,I still can't find my keys. ,0.0,neutral
2009-04-06,3153703061217597362,@charlietm I know right. I dunno what is going on with twitter. ,0.0,neutral
2009-04-06,791974800842702586,might be getting a sore throat again ,-0.3612,negative
2009-04-06,-5048222542071247624,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,-0.3296,negative
2009-04-06,8566895984819543784,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,0.0772,positive
2009-04-06,5255979922420624164,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,0.1779,positive
2009-04-06,247001733817693528,is in the bathroom... wake up lakin. ,0.0,neutral
2009-04-06,839287563967485660,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3,0.0772,positive
2009-04-06,1677034120160410469,"im lonely  keep me company! 22 female, california",-0.4199,negative
2009-04-06,-5041698670551167183,bad day at the betfair office ,-0.5423,negative
2009-04-06,-5519838436487638869,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!,0.1989,positive
2009-04-06,3921047638019146658,I'm really cold. I don't want to go to sleep yet but there's nothing to do ,-0.0286,neutral
2009-04-06,-5416933397341257310,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! ,0.0,neutral
2009-04-06,169918094276972801,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken,-0.7041,negative
2009-04-06,-2889780882685049014,@miss_om Aww  I know I felt like that yesterday at work ,0.3612,positive
2009-04-06,710215442443387763,@SarahReedSC treaty isn't defined ,0.0,neutral
2009-04-06,-1197950189103568842,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;,-0.0777,negative
2009-04-06,5046800426088909325,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx,-0.4682,negative
2009-04-06,8911042853026368894,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts,0.5319,positive
2009-04-06,1732485333338991730,@mandayyy   ,0.0,neutral
2009-04-06,7909833556867325368,New video card is DOA. ,-0.6166,negative
2009-04-06,4285065863424673171,"feeling lost, naked and confused (JK, sort of).....no iphone for me. ",-0.4767,negative
2009-04-06,4164815948457250544,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work ",-0.4019,negative
2009-04-06,4045940010660837571,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;,-0.0777,negative
